n_trees,train_acc,val_acc
10,0.8479010302779584,0.8429170852786478
20,0.8480389259894018,0.8438035577093552
30,0.8480783247640998,0.8435671650611666
40,0.8483541161869866,0.8435080668991194
50,0.8482950180249395,0.8434489687370723
60,0.8482950180249395,0.8433898705750251
70,0.8482950180249395,0.8433898705750251
80,0.8483738155743357,0.8434489687370723
90,0.8483541161869866,0.8434489687370723
100,0.8483541161869866,0.8435080668991194
110,0.8483147174122885,0.8438035577093552
120,0.8483541161869866,0.8432716742509307
130,0.8483541161869866,0.8436262632232138
140,0.8483738155743357,0.843685361385261
150,0.8483541161869866,0.8433307724129779
160,0.8483147174122885,0.8434489687370723
170,0.8483147174122885,0.8433898705750251
180,0.8483344167996375,0.8430352816027421
190,0.8483344167996375,0.8433307724129779
200,0.8483147174122885,0.8433898705750251
