n_trees,train_acc,val_acc,train_loss,val_loss
2,0.8462265823532888,0.8394893918799126,0.4290680463224989,0.6632602941276393
4,0.8473100486574867,0.8417942201997518,0.40529813302575035,0.6273033796493834
6,0.8475267419183263,0.8423261036581763,0.4021706338891194,0.6139697327476892
8,0.8476252388550716,0.8431534779268365,0.40172193818341506,0.6002264610818495
10,0.8475661406930245,0.8429170852786478,0.40138055039405374,0.5925390365266662
12,0.8476055394677225,0.8435080668991194,0.40103363568321365,0.5922805216327834
14,0.8476449382424207,0.8432716742509307,0.40103634318001136,0.5922466801043812
16,0.8477040364044678,0.844099048519591,0.4008620622575212,0.5921513655618936
18,0.8476843370171188,0.8440399503575439,0.40079821582677694,0.5901949047180899
20,0.8476646376297697,0.8443945393298269,0.4007165710881227,0.590268117747393
22,0.8475858400803735,0.8442763430057325,0.40070435620004086,0.5885238280172973
24,0.8475858400803735,0.8442763430057325,0.4005688460685805,0.5881565731547543
26,0.8476843370171188,0.8441581466816382,0.40052234900051975,0.5881171666698656
28,0.8476843370171188,0.8442172448436853,0.4004805392292323,0.5880715861671347
30,0.8476646376297697,0.8439808521954967,0.40043947458517715,0.5880488490623405
32,0.847763134566515,0.8440399503575439,0.40049057847357833,0.5860311261246078
34,0.847763134566515,0.8442763430057325,0.40049763657810294,0.586000439070931
36,0.8478419321159112,0.8439808521954967,0.4004727756546591,0.58603727464509
38,0.8478419321159112,0.8441581466816382,0.4004602580837826,0.5860125935266565
40,0.8478222327285622,0.8440399503575439,0.4005762865912178,0.5861053232659769
42,0.8478222327285622,0.844099048519591,0.40059343006168896,0.5860523846497723
44,0.847782833953864,0.8439808521954967,0.40055224702068437,0.5842639270058623
46,0.847763134566515,0.8439808521954967,0.4005786325409031,0.5843063454553821
48,0.847743435179166,0.8439808521954967,0.4005071306571212,0.5842612550395183
50,0.847782833953864,0.844099048519591,0.4004912993215379,0.5825272820237734
52,0.847782833953864,0.8440399503575439,0.40048260024568877,0.58253273459566
54,0.8478025333412131,0.8440399503575439,0.40046809204259637,0.5823837150939016
56,0.847782833953864,0.8440399503575439,0.40044936669668313,0.5823146095218682
58,0.847782833953864,0.8440399503575439,0.4004154609929935,0.5805585946053945
60,0.847782833953864,0.8440399503575439,0.4003894111300952,0.5805571486592201
62,0.8478025333412131,0.8441581466816382,0.40037162840258844,0.5805665046416713
64,0.8478419321159112,0.8441581466816382,0.4003602642428359,0.5804761488434699
66,0.8478419321159112,0.844099048519591,0.40035174181104544,0.5804602704822525
68,0.8478419321159112,0.8440399503575439,0.40033235012117907,0.5804294920221488
70,0.847782833953864,0.844099048519591,0.4003044685533467,0.5804101165493257
72,0.847782833953864,0.844099048519591,0.40027452790141493,0.5786426141762414
74,0.847782833953864,0.8439808521954967,0.4002730355857778,0.5786618065124566
76,0.847763134566515,0.8439808521954967,0.4002713296961463,0.5786867360027593
78,0.847763134566515,0.8439217540334496,0.40025664812884654,0.5786718046489652
80,0.847782833953864,0.8439808521954967,0.40024715250524945,0.5786040388558006
82,0.847782833953864,0.8439808521954967,0.4002365151979182,0.5786258801474063
84,0.847743435179166,0.844099048519591,0.4002297653690379,0.5785905380357924
86,0.847743435179166,0.8442763430057325,0.4002351347816767,0.578587951750954
88,0.847763134566515,0.8440399503575439,0.4002265117691775,0.5785813374597323
90,0.847763134566515,0.8440399503575439,0.4002164151828716,0.5784958106801927
92,0.847743435179166,0.8440399503575439,0.40020148465665667,0.5785053621210037
94,0.847763134566515,0.8442763430057325,0.40018594404991714,0.5785005163167983
96,0.847763134566515,0.8442763430057325,0.40019711149213677,0.5785040077693905
98,0.847763134566515,0.8439808521954967,0.4001852089345801,0.5784747353491805
100,0.847782833953864,0.8443354411677797,0.40018186368698855,0.5784753001127048
102,0.847782833953864,0.8440399503575439,0.4001757563099461,0.578441163183774
104,0.8478025333412131,0.8440399503575439,0.40018242967746276,0.5784654423050214
106,0.8478222327285622,0.8440399503575439,0.4001793937850521,0.5784405626954318
108,0.8478025333412131,0.8442763430057325,0.40016464259745516,0.5784481544259811
110,0.847782833953864,0.8443354411677797,0.40015336777700383,0.5783976905373086
112,0.847782833953864,0.8443354411677797,0.40016688178804327,0.5784186120221254
114,0.847782833953864,0.8440399503575439,0.4001888676271674,0.5784535444336749
116,0.847782833953864,0.8440399503575439,0.4001791801612232,0.5784511986785609
118,0.8478025333412131,0.8443354411677797,0.4001713802215229,0.5784716206855225
120,0.8478222327285622,0.8442763430057325,0.40015202810316264,0.5784752560206594
122,0.8478025333412131,0.8442763430057325,0.4001795544305063,0.5785432269251658
124,0.8478025333412131,0.8443354411677797,0.4001816281042844,0.5785593533377678
126,0.847782833953864,0.8442763430057325,0.4001640153206754,0.5785424812393921
128,0.847782833953864,0.8442763430057325,0.40015851240331524,0.5768479367744075
130,0.847763134566515,0.8442763430057325,0.40015214496088863,0.57686351281733
132,0.847763134566515,0.8442172448436853,0.40014622183048665,0.5768625319699447
134,0.847763134566515,0.8442763430057325,0.4001407553726688,0.5768838831307198
136,0.847763134566515,0.8442763430057325,0.40015393099357494,0.5768809429226015
138,0.847763134566515,0.8442763430057325,0.4001513565004733,0.5768682159910641
140,0.847782833953864,0.8442763430057325,0.4001471524427233,0.5751141015067401
